,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
79,Overdrive,"Conan Gray",297858,https://open.spotify.com/track/3QyoC6OvQUmpQwQZ18iaTs
80,"ROLLIN N CONTROLLIN FREESTYLE","DUSTY LOCANE",297347,https://open.spotify.com/track/1xqRKo0SDFDO5Jy8yEVD0X
81,"Watermelon Sugar","Harry Styles",296887,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
82,"Drankin N Smokin",Future,295767,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
83,"Holy (feat. Chance The Rapper)","Justin Bieber",291786,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
84,"Dreams - 2004 Remaster","Fleetwood Mac",291529,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
85,"SLOW DANCING IN THE DARK",Joji,291508,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
86,goosebumps,"Travis Scott",290764,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
87,"Before You Go","Lewis Capaldi",290407,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
88,Hayloft,"Mother Mother",289455,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
89,"Dead Man Walking","Brent Faiyaz",289120,https://open.spotify.com/track/5VlTQnZO89Ioku8ssdbqJk
90,Runnin,"21 Savage",289107,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
91,Dior,"Pop Smoke",288939,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
92,"Whiskey Glasses","Morgan Wallen",287637,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
93,"death bed (coffee for your head)",Powfu,286951,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
94,"The Business",Tiësto,285998,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
95,"Prisoner (feat. Dua Lipa)","Miley Cyrus",285298,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
96,"LA NOCHE DE ANOCHE","Bad Bunny",284282,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
97,"Cover Me Up","Morgan Wallen",281947,https://open.spotify.com/track/0mKnuxVkPi5h0kuvZl44VM
98,"Way Less Sad",AJR,280950,https://open.spotify.com/track/4jbtL4tjkqghUvJknUqU1s
99,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,279697,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
100,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",277770,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
101,"motive (with Doja Cat)","Ariana Grande",276519,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
102,"Electric Love",BØRNS,275800,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
103,"SO DONE","The Kid LAROI",275757,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
104,pov,"Ariana Grande",275470,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
105,Violent,carolesdaughter,272983,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
106,"Adore You","Harry Styles",270252,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
107,"Mood Swings (feat. Lil Tjay)","Pop Smoke",269932,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
108,"GO (feat. Juice WRLD)","The Kid LAROI",269677,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
109,"Are You Bored Yet? (feat. Clairo)",Wallows,269358,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
110,865,"Morgan Wallen",266884,https://open.spotify.com/track/0sKEilrw1GrBlG6qsTCrP4
111,"20 Min","Lil Uzi Vert",266689,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
112,"hot girl bummer",blackbear,265115,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
113,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",265097,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
114,"Better Together","Luke Combs",264292,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
